position;name;cheke;perfomance;yearofprod;cpusocket;cpucore;numofcores,numofthreads;basefreq;turbofreq;cachel1;cachel2;cachel3;graphics;memorycontroller;pciecontroller;lithography;tdp;cpucategory
30;Intel Xeon Platinum 8461V;;46622.97;2023;LGA4677;48 / 96;48 / 96;2200 MHz;3700 MHz;48x32 + 48x48;48x2048;99840;нет;8 chann.DDR5-4800;PCI Express 5.080 lines;10 nm;300 W;серверный
31;AMD EPYC 9354P;;46108.54;2022;Socket SP5;32 / 64;32 / 64;3250 MHz;3800 MHz;32x32 + 32x32;32x1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;280 W;серверный
32;AMD EPYC 7643;;45803.78;2021;Socket SP3;48 / 96;48 / 96;2300 MHz;3600 MHz;48x32 + 48x32;48x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
33;AMD Ryzen Threadripper PRO 5975WX;;45622.49;2022;Socket sWRX8;32 / 64;32 / 64;3600 MHz;4500 MHz;2048;16384;131072;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;десктопный
34;AMD EPYC 9274F;;44245.67;2022;Socket SP5;24 / 48;24 / 48;4050 MHz;4300 MHz;24 x 32 + 24 x 32;24 x 1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;320 W;серверный
35;AMD EPYC 7662;;43754.14;2020;Socket SP3;64 / 128;64 / 128;2000 MHz;3300 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
36;AMD EPYC 8534P;;43304.3;2023;Socket SP6;64 / 128;64 / 128;2300 MHz;3100 MHz;64x32 + 64x32;64 x 1024;131072;нет;6 chann.DDR5-4800;PCI Express 5.096 lines;5 nm;200 W;серверный
37;Intel Xeon Platinum 8571N;;42521.03;2023;LGA4677;52 / 104;52 / 104;2400 MHz;4000 MHz;52x32 + 52x48;52x2048;307200;нет;8 chann.DDR5-4800;PCI Express 5.080 lines;10 nm;300 W;серверный
38;AMD EPYC 7713;;42239.71;2021;Socket SP3;64 / 128;64 / 128;2000 MHz;3675 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
39;AMD EPYC 7H12;;41935.39;2019;Socket SP3;64 / 128;64 / 128;2600 MHz;3300 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;серверный
40;AMD EPYC 7573X;;41817.86;2022;Socket SP3;32 / 64;32 / 64;2800 MHz;3600 MHz;32x32 + 32x32;32x512;786432;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;серверный
41;AMD EPYC 75F3;;41259.54;2021;Socket SP3;32 / 64;32 / 64;2950 MHz;4000 MHz;32x32 + 32x32;32x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;серверный
42;AMD EPYC 9254;;41010.2;2022;Socket SP5;24 / 48;24 / 48;2900 MHz;4150 MHz;24x32 + 24x32;24x1024;131072;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;200 W;серверный
43;Intel Xeon w7-3465X;;40962.83;2023;LGA4677;28 / 56;28 / 56;2500 MHz;4800 MHz;28x32 + 28x48;28x2048;76800;нет;8 chann.DDR5-4800;PCI Express 5.0112 lines;10 nm;360 W;десктопный
44;AMD EPYC 9354;;40860.23;2022;Socket SP5;32 / 64;32 / 64;3250 MHz;3800 MHz;32x32 + 32x32;32x1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;280 W;серверный
45;Intel Xeon Gold 6530;;40747.69;2023;LGA4677;32 / 64;32 / 64;2100 MHz;4000 MHz;32x32 + 32x48;32x2048;163840;нет;8 chann.DDR5-4800;PCI Express 5.080 lines;10 nm;270 W;серверный
46;Intel Xeon w9-3475X;;40403.22;2023;LGA4677;36 / 72;36 / 72;2200 MHz;4800 MHz;36x32 + 36x48;36x2048;84480;нет;8 chann.DDR5-4800;PCI Express 5.0112 lines;10 nm;300 W;десктопный
47;AMD Ryzen Threadripper PRO 5965WX;;40165.79;2022;Socket sWRX8;24 / 48;24 / 48;3800 MHz;4500 MHz;1536;12288;131072;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;десктопный
48;AMD EPYC 7543P;;40164.59;2021;Socket SP3;32 / 64;32 / 64;2800 MHz;3700 MHz;32x32 + 32x32;32x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
49;AMD EPYC 8434P;;40045.94;2023;Socket SP6;48 / 96;48 / 96;2500 MHz;3100 MHz;48x32 + 48x32;48 x 1024;131072;нет;6 chann.DDR5-4800;PCI Express 5.096 lines;5 nm;225 W;серверный
50;Intel Core i9-14900KS;;39398.89;2024;LGA1700;24 / 32;24 / 32;2400 MHz;6200 MHz;8x32 + 8x48 | 16x32 + 16x64;32768;36864;Intel UHD Graphics 770300 - 1650 MHz;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;253 W;десктопный
51;AMD Ryzen Threadripper 3970X;;39115.03;2019;Socket sTRX4;32 / 64;32 / 64;3700 MHz;4500 MHz;32x32 + 32x32;32x512;131072;нет;4 chann.DDR4-3200;PCI Express 4.064 lines;7 nm;280 W;десктопный
52;AMD Ryzen Threadripper PRO 3975WX;;39054.34;2020;Socket sTRX4;32 / 64;32 / 64;3500 MHz;4200 MHz;32x32 + 32x32;32x512;131072;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;десктопный
53;AMD EPYC 9334;;39052.77;2022;Socket SP5;32 / 64;32 / 64;2700 MHz;3900 MHz;32x32 + 32x32;32x1024;131072;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;210 W;серверный
54;Intel Xeon Platinum 8454H;;38880.46;2023;LGA4677;32 / 64;32 / 64;2100 MHz;3400 MHz;32x32 + 32x48;32x2048;84480;нет;8 chann.DDR5-4400;PCI Express 5.080 lines;10 nm;270 W;серверный
55;Intel Xeon Platinum 8380;;38745.26;2021;LGA4189;40 / 80;40 / 80;2300 MHz;3400 MHz;40x32 + 40x32;40x1024;61440;нет;8 chann.DDR4-3200;PCI Express 4.064 lines;10 nm;270 W;серверный
56;Intel Core i9-13900KS;;38398.44;2022;LGA1700;24 / 32;24 / 32;2200 MHz;5800 MHz;8x32 + 8x48 | 16x32 + 16x64;32768;36864;Intel UHD Graphics 770300 - 1650 MHz;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;253 W;десктопный
57;AMD EPYC 4584PX;;37869.88;2024;Socket AM5;16 / 32;16 / 32;4200 MHz;5700 MHz;12x32 + 12x32;12x1024;131072;нет;2 chann.DDR5-5200;PCI Express 5.028 lines;5 nm;120 W;десктопный
58;Intel Core i9-14900K;;37726.91;2023;LGA1700;24 / 32;24 / 32;2400 MHz;6000 MHz;8x32 + 8x48 | 16x32 + 16x64;32768;36864;Intel UHD Graphics 770300 - 1650 MHz;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;253 W;десктопный
59;AMD EPYC 7543;;37684.38;2021;Socket SP3;32 / 64;32 / 64;2800 MHz;3700 MHz;32x32 + 32x32;32x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;240 W;серверный
60;AMD EPYC 7C13;;37641.61;2021;Socket SP3;64 / 128;64 / 128;2000 MHz;3675 MHz;64x32 + 46x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
61;Intel Xeon Gold 6448Y;;37586.52;2023;LGA4677;32 / 64;32 / 64;2100 MHz;4100 MHz;32x32 + 32x48;32x2048;61440;нет;8 chann.DDR5-4800;PCI Express 5.080 lines;10 nm;225 W;серверный
62;Intel Xeon Gold 5512U;;37423.61;2023;LGA4677;28 / 56;28 / 56;2100 MHz;3700 MHz;28x32 + 28x48;28x2048;53760;нет;8 chann.DDR5-4400;PCI Express 5.080 lines;10 nm;185 W;серверный
63;AMD EPYC 4564P;;37376.61;2024;Socket AM5;16 / 32;16 / 32;4500 MHz;5700 MHz;12x32 + 12x32;12x1024;65536;нет;2 chann.DDR5-5200;PCI Express 5.028 lines;5 nm;170 W;десктопный
64;Intel Core i9-14900KF;;37291.66;2023;LGA1700;24 / 32;24 / 32;2400 MHz;6000 MHz;8x32 + 8x48 | 16x32 + 16x64;32768;36864;нет;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;253 W;десктопный
65;Intel Core i9-13900K;;36847.08;2023;LGA1700;24 / 32;24 / 32;2400 MHz;6000 MHz;8x32 + 8x48 | 16x32 + 16x64;32768;36864;Intel UHD Graphics 770300 - 1650 MHz;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;253 W;десктопный
66;Intel Xeon W-3375;;36725.25;2021;LGA4189;38 / 76;38 / 76;2500 MHz;4000 MHz;38x32 + 38x32;38x1024;58368;нет;8 chann.DDR4-3200;PCI Express 4.064 lines;10 nm;270 W;десктопный
67;Intel Xeon W-3365;;36705.97;2021;LGA4189;32 / 64;32 / 64;2700 MHz;4000 MHz;32x32 + 32x32;32x1024;49152;нет;8 chann.DDR4-3200;PCI Express 4.064 lines;10 nm;270 W;десктопный
68;Intel Xeon w7-2495X;;36581.71;2023;LGA4677;24 / 48;24 / 48;2200 MHz;4800 MHz;24x32 + 24x48;24x2048;46080;нет;4 chann.DDR5-4800;PCI Express 5.064 lines;10 nm;225 W;десктопный
69;AMD EPYC 74F3;;36538.23;2021;Socket SP3;24 / 48;24 / 48;3200 MHz;4000 MHz;24x32 + 24x32;24x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;240 W;серверный
70;Intel Core i9-13900KF;;36432.35;2022;LGA1700;24 / 32;24 / 32;2200 MHz;5800 MHz;8x32 + 8x48 | 16x32 + 16x64;32768;36864;нет;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;253 W;десктопный
71;AMD EPYC 7702;;36371.94;2019;Socket SP3;64 / 128;64 / 128;2000 MHz;3350 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;200 W;серверный
72;AMD EPYC 7742;;36344.91;2019;Socket SP3;64 / 128;64 / 128;2250 MHz;3400 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
73;AMD Ryzen Threadripper PRO 7955WX;;36287.08;2023;Socket sTR5;16 / 32;16 / 32;4500 MHz;5300 MHz;1024;16384;65536;нет;8 chann.DDR5-5200;PCI Express 5.0148 lines;5 nm;350 W;десктопный
74;AMD Ryzen 9 7950X;;36109.96;2022;Socket AM5;16 / 32;16 / 32;4500 MHz;5700 MHz;16x32 + 16x32;16x1024;65536;Radeon Graphics (Ryzen 7000)400 - 2200 MHz, 128 shaders;2 chann.DDR5-5200;PCI Express 5.024 lines;5 nm;170 W;десктопный
75;Intel Xeon Gold 5420+;;35810.69;2023;LGA4677;28 / 56;28 / 56;2000 MHz;4100 MHz;28x32 + 28x48;28x2048;53760;нет;8 chann.DDR5-4400;PCI Express 5.080 lines;10 nm;205 W;серверный
76;Intel Xeon Gold 6423N;;35711.82;2023;LGA4677;28 / 56;28 / 56;2000 MHz;3600 MHz;28x32 + 28x48;28x2048;53760;нет;8 chann.DDR5-4400;PCI Express 4.064 lines;10 nm;195 W;серверный
77;AMD EPYC 7513;;35706.47;2021;Socket SP3;32 / 64;32 / 64;2600 MHz;3650 MHz;32x32 + 32x32;32x512;131072;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;200 W;серверный
78;AMD EPYC 7473X;;35703.46;2021;Socket SP3;24 / 48;24 / 48;2800 MHz;3700 MHz;24x32 + 24x32;24x512;786432;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;240 W;серверный
79;AMD Ryzen 9 7950X3D;;35634.27;2023;Socket AM5;16 / 32;16 / 32;4200 MHz;5700 MHz;16x32 + 16x32;16x1024;131072;Radeon Graphics (Ryzen 7000)400 - 2200 MHz, 128 shaders;2 chann.DDR5-5200;PCI Express 5.024 lines;5 nm;120 W;десктопный
80;Intel Xeon Gold 6414U;;35566.32;2023;LGA4677;32 / 64;32 / 64;2000 MHz;3400 MHz;32x32 + 32x48;32x2048;61440;нет;8 chann.DDR5-4800;PCI Express 5.080 lines;10 nm;250 W;серверный
81;Intel Xeon w7-3455;;35543.94;2023;LGA4677;24 / 48;24 / 48;2500 MHz;4800 MHz;24x32 + 24x48;24x2048;69120;нет;8 chann.DDR5-4800;PCI Express 5.0112 lines;10 nm;270 W;десктопный
82;AMD EPYC 7642;;35081.9;2021;Socket SP3;48 / 96;48 / 96;2300 MHz;3300 MHz;48x32 + 48x32;48x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
83;AMD Ryzen 9 7945X3D;;34998.12;2023;Socket AM5;16 / 32;16 / 32;2300 MHz;5400 MHz;16x32 + 16x32;16x1024;131072;Radeon 610M400 - 2200 MHz;2 chann.DDR5-5200;PCI Express 5.028 lines;5 nm;55 W;десктопный
84;Intel Xeon Platinum 8375C;;34942.73;2021;LGA4189;32 / 64;32 / 64;2900 MHz;3500 MHz;32x32 + 32x32;32x1280;55296;нет;8 chann.DDR4-3200;PCI Express 4.064 lines;10 nm;300 W;серверный
85;AMD Ryzen 9 7945HX3D;;34885.56;2023;Socket FL1;16 / 32;16 / 32;2300 MHz;5400 MHz;16x32 + 16x32;16x1024;131072;Radeon 610M400 - 2200 MHz;2 chann.DDR5-5200;PCI Express 5.028 lines;5 nm;55 W;мобильный
86;AMD EPYC 7443P;;34459.74;2021;Socket SP3;24 / 48;24 / 48;2850 MHz;4000 MHz;24x32 + 24x32;24x512;131072;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;200 W;серверный
87;Intel Xeon w7-2475X;;34275.49;2023;LGA4677;20 / 40;20 / 40;2600 MHz;4800 MHz;20x32 + 20x48;20x2048;38400;нет;4 chann.DDR5-4800;PCI Express 5.064 lines;10 nm;225 W;десктопный
88;AMD EPYC 7443;;34089.94;2021;Socket SP3;24 / 48;24 / 48;2850 MHz;4000 MHz;24x32 + 24x32;24x512;131072;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;200 W;серверный
89;AMD EPYC 8324P;;34018.27;2023;Socket SP6;32 / 64;32 / 64;2650 MHz;3000 MHz;32x32 + 32x32;32 x 1024;131072;нет;6 chann.DDR5-4800;PCI Express 5.096 lines;5 nm;180 W;серверный
90;Intel Xeon Platinum 8358;;33832.32;2021;LGA4189;32 / 64;32 / 64;2600 MHz;3400 MHz;32x32 + 32x32;32x1024;49152;нет;8 chann.DDR4-3200;PCI Express 4.064 lines;10 nm;250 W;серверный
91;Intel Xeon Platinum 8360Y;;33622.17;2021;LGA4189;36 / 72;36 / 72;2400 MHz;3500 MHz;36x32 + 36x32;36x1024;55296;нет;8 chann.DDR4-3200;PCI Express 4.064 lines;10 nm;255 W;серверный
92;AMD EPYC 7702P;;33464.45;2019;Socket SP3;64 / 128;64 / 128;2000 MHz;3350 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;200 W;серверный
93;AMD EPYC 9174F;;33417.79;2022;Socket SP5;16 / 32;16 / 32;4100 MHz;4400 MHz;16 x 32 + 16 x 32;16 x 1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;320 W;серверный
94;Intel Core i7-14700K;;33256.89;2023;LGA1700;20 / 28;20 / 28;2500 MHz;5600 MHz;8x32 + 8x48 | 12x32 + 12x64;28672;33792;Intel UHD Graphics 770300 - 1600 MHz;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;253 W;десктопный
95;Intel Core i7-14700KF;;33180.41;2023;LGA1700;20 / 28;20 / 28;2500 MHz;5600 MHz;8x32 + 8x48 | 12x32 + 12x64;28672;33792;нет;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;253 W;десктопный
96;Intel Xeon Gold 6438N;;32823.61;2023;LGA4677;32 / 64;32 / 64;2000 MHz;3600 MHz;32x32 + 32x48;32x2048;61440;нет;8 chann.DDR5-4800;PCI Express 5.080 lines;10 nm;205 W;серверный
97;Intel Xeon Gold 5412U;;32794.39;2023;LGA4677;24 / 48;24 / 48;2100 MHz;3900 MHz;24x32 + 24x48;24x2048;46080;нет;8 chann.DDR5-4400;PCI Express 5.080 lines;10 nm;185 W;серверный
98;AMD Ryzen 9 7945HX;;32642.21;2022;Socket FP7;16 / 32;16 / 32;2500 MHz;5400 MHz;16x32 + 16x32;16x1024;65536;Radeon 610M400 - 2200 MHz;2 chann.DDR5-5200;PCI Express 5.028 lines;5 nm;55 W;мобильный
99;Intel Xeon Gold 6348;;32501.8;2021;LGA4189;28 / 56;28 / 56;2600 MHz;3500 MHz;28x32 + 28x32;28x1024;43008;нет;8 chann.DDR4-3200;PCI Express 4.064 lines;10 nm;235 W;серверный
100;AMD Ryzen 9 7940HX;;32345.12;2024;Socket FL1;16 / 32;16 / 32;2400 MHz;5200 MHz;16x32 + 16x32;16x1024;65536;Radeon 610M400 - 2200 MHz;2 chann.DDR5-5200;PCI Express 5.028 lines;5 nm;55 W;мобильный
101;AMD Ryzen Threadripper 3960X;;31992.62;2019;Socket sTRX4;24 / 48;24 / 48;3800 MHz;4500 MHz;24x32 + 24x32;24x512;131072;нет;4 chann.DDR4-3200;PCI Express 4.064 lines;7 nm;280 W;десктопный
102;AMD EPYC 7532;;31949.14;2021;Socket SP3;32 / 64;32 / 64;2400 MHz;3300 MHz;32x32 + 32x32;32x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;200 W;серверный
103;Intel Core i9-13900F;;31851.03;2023;LGA1700;24 / 32;24 / 32;2000 MHz;5600 MHz;8x32 + 8x48 | 16x32 + 16x64;32768;36864;нет;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;219 W;десктопный
104;AMD EPYC 7F72;;31675.72;2020;Socket SP3;24 / 48;24 / 48;3200 MHz;3700 MHz;24x32 + 24x32;24x512;196608;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;240 W;серверный
105;AMD EPYC 4484PX;;30785.8;2024;Socket AM5;12 / 24;12 / 24;4400 MHz;5600 MHz;12x32 + 12x32;12x1024;131072;нет;2 chann.DDR5-5200;PCI Express 5.028 lines;5 nm;120 W;десктопный
106;AMD EPYC 7552;;30776.59;2019;Socket SP3;48 / 96;48 / 96;2200 MHz;3300 MHz;48x32 + 48x32;48x512;196608;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;200 W;серверный
107;Intel Xeon Platinum 8347C;;30704.99;2021;LGA4189;36 / 72;36 / 72;2100 MHz;3500 MHz;36x32 + 36x32;36x1280;55296;нет;8 chann.DDR4-3200;PCI Express 4.064 lines;10 nm;210 W;серверный
108;Intel Core i9-14900F;;30514.81;2024;LGA1700;24 / 32;24 / 32;1500 MHz;5800 MHz;8x32 + 8x48 | 16x32 + 16x64;32768;36864;нет;2 chann.DDR5-5600;PCI Express 5.020 lines;10 nm;219 W;десктопный
109;AMD EPYC 7453;;30458;2019;Socket SP3;28 / 56;28 / 56;2750 MHz;3450 MHz;28x32 + 28x32;28x512;65536;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
110;AMD EPYC 7502P;;30341.77;2019;Socket SP3;32 / 64;32 / 64;2500 MHz;3350 MHz;32x32 + 32x32;32x512;131072;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;180 W;серверный
111;AMD Ryzen 9 7900X3D;;30326.26;2023;Socket AM5;12 / 24;12 / 24;4400 MHz;5600 MHz;12x32 + 12x32;12x1024;131072;Radeon Graphics (Ryzen 7000)400 - 2200 MHz, 128 shaders;2 chann.DDR5-5200;PCI Express 5.024 lines;5 nm;120 W;десктопный
112;AMD EPYC 9184X;;30321.44;2023;Socket SP5;16 / 32;16 / 32;3550 MHz;4200 MHz;16 x 32 + 16 x 32;16 x 1024;786432;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;320 W;серверный
113;AMD EPYC 7413;;30248.57;2021;Socket SP3;24 / 48;24 / 48;2650 MHz;3600 MHz;24x32 + 24x32;24x512;131072;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;180 W;серверный
